str_model,flt_auc,flt_gini,flt_ks,flt_brier,flt_median_pred
Champion (XGBoost),0.8024371104268011,0.6048742208536022,0.4691976837595394,0.11992024630308151,0.1327408105134964
Challenger (Logistic Regression),0.7942783877062227,0.5885567754124454,0.46490308088246235,0.12282266407365276,0.14328602658809197
