str_split,int_n_rows,int_n_cols,str_date_min,str_date_max,flt_target_mean
Train,17715,20,2022-01-01,2024-02-02,0.18978267005362687
Validation,3796,20,2024-02-02,2024-07-18,0.17729188619599578
Test,3797,20,2024-07-18,2024-12-28,0.18251250987621806
