str_group,int_n,flt_target_mean,flt_pred_mean,flt_pred_median,flt_auc
<60,3690,0.1831978319783198,0.18654594,0.13233641,0.8038051224463353
>=60,107,0.1588785046728972,0.18221858,0.13586764,0.7457516339869281
